Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact
A A Hospital,Denkani Kottai Road Mathigiri,Unknown,Government,9614793163
A C Hospital,"No-8, 3Rd Main Road, United India Nagar, Ayanavaram, Chennai-600023","Few Left, Book Now",Private,9194233039
A-Care Orthopaedic & General Hospital,"G-1, Giriraj Tower, Sai Baba Nagar, Mira Bhayander Road, Mira Road.","Few Left, Book Now",Private,9447095823
A-One Hospital Pvt Ltd,"A-1/7, Panchim Vihar, Rohtak Road, New Delhi-110063","Few Left, Book Now",Private,9463738626
A.B.Eye Institute,"Road No.12, Rajendra Nagar, Patna, Bihar-800016",Limited Seats,Municipal,9554243725
A.C. Hospital,"201,2Nd Agraharam",Limited Seats,Municipal,9977263416
A.G. Eye Care Hospitals (U Nit Of Dr. A.G. Eye Hospitals Private Limited,"No. 106, R.K. Mutt Road. Mylapore, Chennai, Tamilnadu","Few Left, Book Now",Private,9331269338
A.G. Hospital,"34, Kpn Colony 3Rd Street, Tirupur",Unknown,Government,9178181242
A.G. Padmavati'S Hospital Ltd.,"R.S. No.127/A, Villianur Main Road, Arumparthapuram, Puducherry",Unknown,Government,9357299232
A.J. Hospital,"Kazhakuttam, P.O., Thiruvananthapuram, Trivandrum-695582",Available,Government,9673851774
A.J. Hospital & Research Centre,"Kuntikan, Mangalore, Dakshina Kannada-575004, Opp. Ksrtc Depot.Kuntikana",Unknown,Government,9301734310
A.K.G. Surgical Centre,"# 225, Avas Vikas Colony,Masoodabad Chouraha Gt Roadmasoodabad Chouraha,G.T.Road,",Unknown,Government,9288114482
A.M. Hospital,"# 20/1, 2Nd Cross, Widia Layout, Vijayanagar, Bangalore","Few Left, Book Now",Private,9612374669
A.M. Hospital,"N.H. 47, Karunagapally",Unknown,Government,9580511150
A.N. Beach Hospital,"15-9-13/24, Krishna Nagar,Near Beach Road, Visakhapatnam, Andhra Pradesh",Limited Seats,Municipal,9636646657
A.N.N Hospital,"81-85,Annai Therasa Street,Valasaravakkam",Unknown,Government,9424797765
A.P.Hospital,"Ajitnagar Chowk,Near Sultan Wind Water Tank",Unknown,Government,9334859423
A.P.Varkey Mission Hospital,Arakunnam P.O. Thottapady.,Unknown,Government,9461901829
A.R.Hospital Pvt Ltd,"609, K.K.Nagar, Madurai-625020",Unknown,Government,9514099427
A.U.S. Clinic & Lithotripsy Centre,"Arun Chambers, Tardeo, Mumbai-400034Tardeo","Few Left, Book Now",Private,9083316342
A.V. Hospitals,"# 172, Solaiappan Street, Tondirepet (North Chennai) Near Maharani Theatre","Few Left, Book Now",Private,9864926075
A.V.Da Costa Hospital,"No.P-602,Fatorda,Next To Fatorda Stadium,Salcete,",Unknown,Government,9827766721
A.V.M. Hospital A.V.M.M. Associates (P) Ltd,"# 135, Palayamkottai Roadtuticorin",Unknown,Government,9207404329
Aabu Tayshete Memorial Hospital,"Behind Hotel Sahyadri Kankavlisindhudurga, Maharashtra.",Unknown,Government,9013215809
Aadhar Hospital,"Court Road,Chavatgalli",Unknown,Government,9071851266
Aadithya Adhikari Hospital,"#417, Contour Road,3Rd Stage Gokulaum, Mysore-570002",Available,Government,9987792684
Aaditya Hospital,Main Chowk Vishrambag,Unknown,Government,9240700298
Aadya Ent Hospital,"Shivam Complex, Janata Chamber, Saijpur Tower.",Unknown,Government,9483930427
Aadya Eye Hospital,"Near Saijpur Tower, Janata Market.",Unknown,Government,9715237717
Aagman Hospital,Madhav Vatika Raiya Road.,Unknown,Government,9520889441
Aakar Hospital,"Virani School Chowk,Opp Punjab Bank,Ramkrishna Nagar Main Road,",Unknown,Government,9028676177
Aakash Eye Hospital,"A 19-20,Suraksha Society,Near B.Ed.College,Visnagar,Shivmarket",Unknown,Government,9833182344
Aakash Hospital,"90/43, Malviya Nagar, New Delhi","Few Left, Book Now",Private,9586754036
Aakash Hospital,"# 393/1, T.H. Road, (Annexe) 393/1, Tiruvottiyur.Tiruvallur",Unknown,Government,9102061341
Aakashdeep Hospital,"# 98, Sector-7, Koperkhairna,Navi Mumbai-400709.","Few Left, Book Now",Private,9271975683
Aalok Ortho Care,"#8, Vidhyavihar Colony, Opp Hotel Fortune Lankmark, Usmanpura, Ahmedabad, Gujarat","Few Left, Book Now",Private,9841269542
Aarif Nursing Home,"Lakshmi Street,Near Income Tax Office",Unknown,Government,9053966471
Aarogya Hospital (A Unit Of Kastura Medicos Limited,"Plot No-Nh-1, Sec-6, Vaishali, Ghaziabad, Uttar Pradesh","Few Left, Book Now",Private,9709118327
Aarogyam Multispeciality Hospital,"1St Floor, Renuka Bldg, Appo Mangala High School, Above Bank, Maharashtra, Mumbaimumbai","Few Left, Book Now",Private,9347076458
Aarthi Hospital,"60,Santhaipettai Street",Unknown,Government,9830787839
Aarthy Eye Hospital,"#16, Sengunthapuram Main Road, Karur.",Unknown,Government,9360856959
Aaruni Hospital Pvt Ltd,"Next To Holy Saint School,Kalawad Road",Unknown,Government,9446611088
Aaryan Institute Of Medical Sciences,"Navanaka,Mandvi,Near Opp Sawmi Narayana Mandir",Unknown,Government,9733875098
Aasha Hospitals,"7-201,Court Road,Anantapur",Unknown,Government,9458269764
Aashirwad Hospital,"G-121, Oriental Villa, Sushant Lok-Iii, Sector-57.",Unknown,Government,9593024576
Aashirwad Hospital,"Om Shraddha Tower, Above Tdcc Bank Pune Link Road, Tisgaon, Kalyan Est, Thane.","Few Left, Book Now",Private,9830043632
Aashirwad Nursing Home,"Ashirwad, Swami Samarth Nagar, 2Nd Cross Lane, Lokhandwala Complex, Andheri West","Few Left, Book Now",Private,9586539248
Aashirwad Nursing Home & Iccu,"A3, New Green Apartments,Tilak Chowk, Turel Pakhadi Roa",Unknown,Government,9432122897
Aashirwad Nursing Home (Heart And Diabetes Center),"A-29/3, Lions Enclave, Marble Block, Vikas Nagar, Uttam Nagar, New Delhi-110059","Few Left, Book Now",Private,9553071750
Aashlok Nursing Home Pvt Ltd,"#25A, Block-Ab, Community Centre,Safdarjung Enclave, Newdelhi-110029","Few Left, Book Now",Private,9622071670
Aastha Eye Centre,"5-R/5 N.I.T, Near Neelam Petrol Pump, Faridabad-121001","Few Left, Book Now",Private,9315508408
Aastha Hospital,"L-2/50, New Mahavir Nagar Outer Ring Road Near Janakpuri Dist Centre",Unknown,Government,9616175718
Aastha Hospital,"No.104,New Krishna Housing Society,Near Dhuri Motors,Ambadi Road,Vasai(W),Thane,","Few Left, Book Now",Private,9156858132
Aastha Hospital,Hospital Area Ulhasnagar -3Thane,"Few Left, Book Now",Private,9726169628
Aastha Kidney & Multispecialty Hospital,"2-D-1, Sukhadia Nagar, Sri Ganganagar, Rajasthan",Unknown,Government,9194139012
Aayush Eye Clinic,"201, Coral Classic,20Th Road.",Unknown,Government,9758222090
Aayushmaan Hospital,Kiratpur Road,Unknown,Government,9563931986
Aayushman The Family Hospital,"D.No.45/145A1,Venkataramana Colony",Unknown,Government,9071305454
Abc Hospitals,"#16-1-13, Kgh To Beach Down, Opp. Coastal Battery, Maharanipeta, Visakhapatnam, Visakha, Andhrapradesh-530002",Limited Seats,Municipal,9661108454
Abdul Khadir Hospital,"Parakkai Road,Elankadai,Kottar",Unknown,Government,9668944122
Abha Nursing Home (P) Ltd,"10/503-B, Allengami, Kanpur",Limited Seats,Municipal,9223335217
Abhaya Critical Care,"18-1-34, Opp. K.G.H. Gatemaharanipeta,",Unknown,Government,9829388392
Abhaya Emergency Centre Sri Hospitals,"79-1-4/1, J.N. Road",Unknown,Government,9218857652
Abhaya Eye Hospital,"#77,Bsk 3Rd Stage, 100Ft Ring Road,5Th Block.",Unknown,Government,9947482849
Abhaya Hospital,"1-78D, Jainpeta, Belthangaby, Dakshina Kannada, Karnataka",Unknown,Government,9506039915
Abhaya Hospital (Neuropsychiatry & Critical Care Hospital Pvt Ltd),"17, Dr.M.H.Mari Gowda Road,Wilson Garden,Bangalore","Few Left, Book Now",Private,9398241193
Abhaya- Bbc Children Hospital,"Hindi Maha Vidyalaya Complex, O.U. Road, Vidya Nagar.",Unknown,Government,9250901883
Abhi Sai Hospitals,"Doctor'S Colony,Miryalguda",Unknown,Government,9560585793
Abhijay Hospital (P) Ltd.,"No.22/2, E.S.I Hospital Road,Peravallur,",Unknown,Government,9119241012
Abhijit Hospital,Divya Trusha Mamlatdar Wadiroad Malad (West),Unknown,Government,9519613181
Abhilash Hospital & Sara Rehabilitation Centre,"#271, 1Ooft Ring Road, 5Th Block,3Rd Phase, 3Rd Stage,Banashankri.",Unknown,Government,9488623378
Abhilasha Hospital,House No 201 Sector 35 A,Unknown,Government,9261524630
Abhinandan Hospital,"0/60, Doctors Colony, Kankar Baga",Unknown,Government,9230593760
Abhinav Drishti Eye Hospital,"B-719, Sector-C, Mahanagar Lucknow",Limited Seats,Municipal,9152724235
Abhinav Multispeciality Hospital,"Naya Nakasha, Lashkari Bagh.",Unknown,Government,9859085281
Abhiram Institute Of Medical Sciences,"Opp Aps Rtc Depot, Atmakur, Nellore",Unknown,Government,9762111659
Abhishek Nethradhama,"Mosque Complex, Opp Rajkamar Talkies, Fort Road,",Unknown,Government,9257696180
Abhishek Nursing Home (L.P.Diagnostics Pvt. Ltd.),"Jagruti Co-Op.Soci Bhatwadi,Ghatkopm- (W), Mumbai - 400084Near Maratha Mandir,Co-Op Bank","Few Left, Book Now",Private,9812880447
Abinand Hospital,"237-F/7, Pollachi Main Road,Sundarapuram, Coimbatore",Available,Government,9626248602
Abiraami Hospital,"24-Alc,Campus,Manjakuppam",Unknown,Government,9410714681
Acchutha Eye Care,"#H-3, Evn Road, Permar Nagar, Near Surampatti Nall Road, Erode-638009",Unknown,Government,9249435876
Accident Fracture And Orthopedic Hospital,"Near Green Park Dunetha Road , Nani Daman, Gandhinagar, Gujarat-382010",Unknown,Government,9284208546
Ace Heart & Vascular Institute. (A Unit Of Prime Cardiac Care Pvt. Ltd.),"Sector-69,Shivalik Hospital",Unknown,Government,9891502628
Acharya Shri Chander College Of Medical Sciences & Hospital,"P.B # 5, Hpo Gandhi Nagar,Jammu-180017.",Available,Government,9444354181
Acharya Tulsi Jain Hospital,"Mom(M)W6-P-6,#22/2-1,6Th Cross,K.N Extension",Unknown,Government,9075159461
Acharya Vinoba Bhave Rural Hospital,"Yavatmal Road,Sawangi (Meghe)Wardha-442004.",Unknown,Government,9501050301
Achyut Pandit Hospital,"Kumbeswar Temple Road,Kumta",Unknown,Government,9973071636
Action Cancer Hospital,"H-2/Fc-34,A4 Pashim Vihar",Unknown,Government,9437560475
