Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact,State
A A Hospital,Denkani Kottai Road Mathigiri,Unknown,Government,9614793163,Maharashtra
A C Hospital,"No-8, 3Rd Main Road, United India Nagar, Ayanavaram, Chennai-600023","Few Left, Book Now",Private,9194233039,Odisha
A-Care Orthopaedic & General Hospital,"G-1, Giriraj Tower, Sai Baba Nagar, Mira Bhayander Road, Mira Road.","Few Left, Book Now",Private,9447095823,Rajasthan
A-One Hospital Pvt Ltd,"A-1/7, Panchim Vihar, Rohtak Road, New Delhi-110063","Few Left, Book Now",Private,9463738626,Delhi
A.B.Eye Institute,"Road No.12, Rajendra Nagar, Patna, Bihar-800016",Limited Seats,Municipal,9554243725,Bihar
A.C. Hospital,"201,2Nd Agraharam",Limited Seats,Municipal,9977263416,Arunachal Pradesh
A.G. Eye Care Hospitals (U Nit Of Dr. A.G. Eye Hospitals Private Limited,"No. 106, R.K. Mutt Road. Mylapore, Chennai, Tamilnadu","Few Left, Book Now",Private,9331269338,Telangana
A.G. Hospital,"34, Kpn Colony 3Rd Street, Tirupur",Unknown,Government,9178181242,Nagaland
A.G. Padmavati'S Hospital Ltd.,"R.S. No.127/A, Villianur Main Road, Arumparthapuram, Puducherry",Unknown,Government,9357299232,Puducherry
A.J. Hospital,"Kazhakuttam, P.O., Thiruvananthapuram, Trivandrum-695582",Available,Government,9673851774,Nagaland
A.J. Hospital & Research Centre,"Kuntikan, Mangalore, Dakshina Kannada-575004, Opp. Ksrtc Depot.Kuntikana",Unknown,Government,9301734310,Haryana
A.K.G. Surgical Centre,"# 225, Avas Vikas Colony,Masoodabad Chouraha Gt Roadmasoodabad Chouraha,G.T.Road,",Unknown,Government,9288114482,Goa
A.M. Hospital,"# 20/1, 2Nd Cross, Widia Layout, Vijayanagar, Bangalore","Few Left, Book Now",Private,9612374669,Karnataka
A.M. Hospital,"N.H. 47, Karunagapally",Unknown,Government,9580511150,Kashmir
A.N. Beach Hospital,"15-9-13/24, Krishna Nagar,Near Beach Road, Visakhapatnam, Andhra Pradesh",Limited Seats,Municipal,9636646657,Andhra Pradesh
A.N.N Hospital,"81-85,Annai Therasa Street,Valasaravakkam",Unknown,Government,9424797765,Manipur
A.P.Hospital,"Ajitnagar Chowk,Near Sultan Wind Water Tank",Unknown,Government,9334859423,Tamil Nadu
A.P.Varkey Mission Hospital,Arakunnam P.O. Thottapady.,Unknown,Government,9461901829,Chhattisgarh
A.R.Hospital Pvt Ltd,"609, K.K.Nagar, Madurai-625020",Unknown,Government,9514099427,Rajasthan
A.U.S. Clinic & Lithotripsy Centre,"Arun Chambers, Tardeo, Mumbai-400034Tardeo","Few Left, Book Now",Private,9083316342,Jammu
A.V. Hospitals,"# 172, Solaiappan Street, Tondirepet (North Chennai) Near Maharani Theatre","Few Left, Book Now",Private,9864926075,Bihar
A.V.Da Costa Hospital,"No.P-602,Fatorda,Next To Fatorda Stadium,Salcete,",Unknown,Government,9827766721,Nagaland
A.V.M. Hospital A.V.M.M. Associates (P) Ltd,"# 135, Palayamkottai Roadtuticorin",Unknown,Government,9207404329,Delhi
Aabu Tayshete Memorial Hospital,"Behind Hotel Sahyadri Kankavlisindhudurga, Maharashtra.",Unknown,Government,9013215809,Maharashtra
Aadhar Hospital,"Court Road,Chavatgalli",Unknown,Government,9071851266,Kashmir
Aadithya Adhikari Hospital,"#417, Contour Road,3Rd Stage Gokulaum, Mysore-570002",Available,Government,9987792684,Goa
Aaditya Hospital,Main Chowk Vishrambag,Unknown,Government,9240700298,Jharkhand
Aadya Ent Hospital,"Shivam Complex, Janata Chamber, Saijpur Tower.",Unknown,Government,9483930427,Jammu
Aadya Eye Hospital,"Near Saijpur Tower, Janata Market.",Unknown,Government,9715237717,Tamil Nadu
Aagman Hospital,Madhav Vatika Raiya Road.,Unknown,Government,9520889441,Assam
