Clinic Name,Speciality,City,State,Contact,Opening Hours,Address
Rajendra Clinic,,,Maharastra,9295984063,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Wadala Sewri Cross Road, Wadala West, Wadala, Mumbai"
Chandak Nursing Home,,,Maharashtra,+91 712 252 2448 x2544836,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Super Market Sitabuldi Sitabuldi
Shraddha Polyclinic and Nursing Home,,,Maharashtra,9345641354,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Opposite Mirani Nagar, 1st Floor, Junction Of Ganesh Gawade Road, Mulund (W)"
Maruti Nursing Home,,,Maharashtra,9143965695,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Floor, Girnar Building, Next To Dominos Pizza, Hanuman Chowk, Gokhale Road, Mulund(East)"
Lav-Kush Nursing Home,,,Maharashtra,9957172123,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Laxmi Niwas, N.S. Road, Near Syndicate Bank, Mulund"
Pranjal Nursing Home,,,Maharashtra,9450420628,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Durga Chowk, Goyal Talkies Road, Kamptee"
Durvankur Hospital,,,Maharashtra,9816899943,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"S R No.11/12, Nanekar Wadi,Talegaon Road,Chakan"
Arogya Health Care,,,Maharashtra,9756201249,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Floor, Ambe Maiya Apartments"
Mahad Nursing Home,,,Maharashtra,9209634490,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Mahad
"Royal Nursing Home, Govandi",,,Maharashtra,9440608533,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"3/A/5, Shivaji Nagar, Main Road Govandi"
Bhatti Eye Clinic,,,Maharashtra,9074890021,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. 22, Amar Mansion,Trombay Road, Chembur"
Dr Baliga Nursing Home,,,Maharashtra,9127391387,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Unnat Nagar 2, Paras, S.V.Road, Goregaon(W)"
Dr. Bamis Fracture and Hand Clinic - Goregaon,,,Maharashtra,9701103912,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"101-A,Kumud Nagar,Near Samrat Talkies, S.V.Road, Goregaon (West)"
Ascent Clinic,,,Maharashtra,9783233126,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Shop No-6, Next To Canara Bank,LBS Road"
