id,name,type,lat,lon,speciality,street,locality,city,state,district,postcode,phone,website,opening_hours,amenity,healthcare,address_full
,R. M. Zala,doctors,22.8392875,69.7246251,,,,,,,,,,,,,
,,clinic,22.7379565,70.4261389,,,,,,,,,,,,,
,Shree Multispeciality Hospital,clinic,21.2108025,72.793353,,,,Surat,,,,,,,,,
,Nital skin clinic ,clinic,22.2931898,73.1678198,,purusharth avenue,,,,,390020.0,,,Mo-Sa 10:00-02:00,,,
,parth dental clinic,clinic,23.6114077,72.4001584,,Asharam Road,,,,,384001.0,,,,,,
,medical store,doctors,23.5944266,72.3798266,,Modhera road,,,,,,,,,,,
,N.K medical,clinic,23.6040379,72.3903278,,Ahmedabad Palanpur State Highway SH41,,,,,,,,,,,
,Maitri medical store,clinic,23.6041849,72.3902781,,fuvara,,mehsana,,,384001.0,,,08:00-22:00,,,
,hari krupa medicals,clinic,23.6118047,72.3966666,,Ahmedabad Palanpur State Highway SH41,,,,,,,,,,,
,108,clinic,23.6036243,72.3806279,,Ahmedabad Palanpur State Highway SH41,,,,,,,,,,,
,geeta medical,clinic,23.5944783,72.3802534,,Ahmedabad Palanpur State Highway SH41,,,,,,,,,,,
,Umiya medicine store,clinic,23.605539,72.3880393,,Ahmedabad Palanpur State Highway SH41,,,,,,,,,,,
,Nimbark ayurvedic clinic,clinic,23.6134346,72.3828207,,Ahmedabad Palanpur State Highway SH41,,,,,,,,,,,
,Mamta medicals,clinic,23.5957312,72.3867465,,T.B.Road,,,,,,,,,,,
,Doctor dipak sah,clinic,23.5903769,72.3858908,,T.B.Road,,,,,,,,,,,
,Dr.Dipak shah Skin specialist,clinic,23.5904444,72.3859716,,T.B.Road,,,,,,,,,,,
,Dr.Bipin patel,doctors,23.611231,72.399689,,Asharam Road,,,,,,,,,,,
,Pancham health care,clinic,23.5888385,72.3779089,,Ahmedabad Palanpur State Highway SH41,,,,,,,,,,,
,Dr.jitupatel,doctors,23.6056926,72.3867453,,gopinala,,,,,,,,,,,
,Homeo care,clinic,23.6057747,72.386543,,gopi cinema road,,mehsana,,,384002.0,,,,,,
,Sai shrdha medical store,clinic,23.605604,72.3877097,,gopinala,,,,,,,,,,,
,Rajan medical store,clinic,23.6055877,72.3877778,,gopinala,,,,,,,,,,,
,Goradwala chemist,clinic,23.6056572,72.3873945,,Modhera road,,,,,,,,,,,
,Dr. Jayesh N Patel,doctors,23.606475,72.3801683,,,,,,,,,,,,,
,Old College Building,clinic,20.5926528,72.9223449,,,,,,,396001.0,,,"""Buiding is closed.""",,,
,"Hospital block, Civil hospital",clinic,20.5947298,72.9226837,,,,,,,,,,,,,
,sunflower infertility clinic,clinic,23.0455615,72.541361,,,,,,,,,,,,,
